rule	ordinal	source	kr	en	jp	placeholders
Global: Setting	115	legacy-phrase	〔{1}〕: 모드-{0}		〔{1}〕: モード-{0}	{1} {0}
Global: Setting	116	legacy-phrase	다른 메뉴		別のモード	
Global: Setting	117	legacy-phrase	연습 종료		練習終了	
Global: Setting	118	legacy-phrase	모든 손님		全員	
Global: Setting	119	legacy-phrase	튜토리얼		チュートリアル	
Global: Setting	123	legacy-phrase	개시 하여 시작		開始を押してスタート	
Global: Setting	124	legacy-phrase	퓨전		フュージョン	
Global: Setting	125	manual-global	{0} v260902\r\n\r\n{1}레스토랑 테마 통합\r\n  레스토랑 모듬회밥에 카페&디저트 와 쿡제요리가 통합되었습니다\r\n{2}		{0} v260902\r\n\r\n{1}レストランテーマ統合\r\n  レストランにカフェ&デザートと世界の料理が統合されました\r\n{2}	{0} {1} {2}
Global: Setting	126	manual-global	  테마는 게임 진입시와 연습모드에서 변경할 수 있습니다		  テーマはゲーム開始時と練習モードで変更できます	
Global: Setting	127	manual-global	{0} 버그 수정\r\n\r\n{1}		{0} 不具合修正\r\n\r\n{1}	{0} {1}
Global: Setting	128	manual-global	  일부 요리 번역 명칭이 수정되었습니다.\r\n{0}		  一部の料理名の翻訳を修正しました。\r\n{0}	{0}
Global: Setting	129	manual-global	  게임 시작 시 일부 모드의 추가 시작 아이템이 데이터 초기화 전에 생성되어 사라지는 문제를 수정했습니다.		  一部のモードで追加の初期アイテムがゲーム開始時に消える不具合を修正しました。	
Global: Setting	130	manual-global	[{0}] - 연습모드용 아이템 생성		[{0}] - 練習モード用アイテム生成	{0}
Player: Spawn	0	legacy-phrase	설정	Settings	設定	
Player: Spawn	1	legacy-phrase	플레이어 기본 직책	Default Player Role	プレイヤー基本役職	
Player: Spawn	2	legacy-phrase	요리사	Chef	シェフ	
Player: Spawn	3	legacy-phrase	홀 서버	Waiting Staff	ホール·スタッフ	
Player: Spawn	4	legacy-phrase	수습생	Apprentice	見習い生	
Player: Spawn	8	manual-context	〔{0}〕 로 시작	[{0}] to Start	〔{0}〕を押してスタート	{0}
Player: Spawn	9	legacy-phrase	레 스 토 랑	Restaurant	レストラン	
Player: Control item	1	manual-context	〔{0}〕:  칼 장착  	 [{0}]:  Equip Knife  	〔{0}〕:  セット  	{0}
Player: Control item	3	manual-context	〔{0}〕:  아이템 장착  	 [{0}]:  Equip Item  	〔{0}〕:  セット  	{0}
Player: Control item	5	manual-context	〔{0}〕:  줍기  	 [{0}]:  Pick Up  	〔{0}〕:  GET  	{0}
Player: Control item	7	manual-context	〔{0}〕:  썰기  	 [{0}]:  Chop  	〔{0}〕:  切る  	{0}
Player: Interact	0	legacy-phrase	$ 돈이 부족합니다	$ Not Enough Money 	$ お金が足りません。	
Player: Interact	1	legacy-phrase	전설 칼 주문 -${0}	Order Legendary Knife -${0}	ヘッドシェフの包丁注文 -${0}	{0}
Player: Interact	2	legacy-phrase	다음번에 상인이 칼을 가져올 것 입니다	Knife will be delivered when he came back	次は商人が包丁を持ってくるよ。 	
Player: Interact	3	legacy-phrase	특수 칼 뽑기 -${0}	Order Special Knife Random Box -${0}	特製包丁ガチャ -${0}	{0}
Player: Interact	4	legacy-phrase	다음번에 상인이 칼을 가져올 것 입니다	Knife will be delivered when he came back	次は商人が包丁を持ってくるよ。 	
Player: Interact	5	legacy-phrase	{0} 구매 -${1}	Purchase {0} -${1}	{0} 購入 -${1}	{0} {1}
Player: Interact	6	legacy-phrase	준비 시간을 생략합니다! 	Skipping Preparation Time! 	準備時間をスキップします! 	
Player: Interact	7	legacy-phrase	{0}{1} 준비 완료! (헤드셰프만 준비시간을 생략할 수 있습니다)	{0}{1} say ready to cook! (Head Chef can skip preparation time)	{0}{1} さんがゲームの開始を提案しました！(ヘッドシェフは準備時間をスキップできます)	{0} {1}
Player: Interact	8	legacy-phrase	{0}{1} 님이 연습을 중지하자고 합니다! 	{0}{1} want to close the service! 	{0}{1} さんが練習の中止を提案しました！ 	{0} {1}
Player: Interact	9	legacy-phrase	임시 개장 종료! 	Temporary Service Closed! 	一時開業終了! 	
Player: Interact	10	legacy-phrase	{0}{1} 님이 게임을 시작하자고 합니다! 	{0}{1} ready to cook! 	{0}{1} さんがゲームの開始を提案しました！ 	{0} {1}
Player: Interact	11	legacy-phrase	잠시 후 게임을 시작합니다! 	Game will start shortly! 	まもなくゲームを開始します！ 	
Player: Interact	12	legacy-phrase	연습용 손님이 입장합니다! 	Practice Customers are coming in!	練習用のお客様が来店します！ 	
Player: Interact	13	legacy-phrase	　　　　　주문서　　　　　	　　　　　Order List　　　　　	　　　　　注文書　　　　　	
Player: Interact	16	legacy-phrase	{0}{1} 님이 연습을 시작하자고 합니다! 	{0}{1} want to start practicing! 	{0}{1} さんが練習の開始を提案しました！ 	{0} {1}
Player: Reload button	0	legacy-phrase	길게 누르면 모든 아이템을 내려놓습니다 		長押しすると全てのアイテムを置きます 	
Player: Reload button	4	legacy-phrase	업데이트 필요! - 코드 : SPXXM		アップデート 必要! - コード : 4ND1P	
Player: Reload button	5	legacy-phrase	버그 수정 및 추가 업데이트를 적용하려면\r\n위의 코드로 게임을 다시 불러와주세요!		バグ修正や追加アップデートを適用するには\r\n上記のコードを使ってゲームを再読み込みしてください。	
Player: Ultimate button	0	legacy-phrase	100초간 속도 증가!	Increase Speed for 100 seconds! 	100秒間、速度アップ!	
Player: Ultimate button	1	legacy-phrase	{1}{0}이(가) 서빙볼을 소환했습니다! 	{1}{0} has summoned a ServingBall! 	{1}{0}がサービングボールを召喚しました！	{1} {0}
Player: Ultimate button	2	legacy-phrase	{1}{0}이(가) 제트팩을 장착했습니다! 	{1}{0} has equipped a jetpack! 	{1}{0}がジェットパックを装着しました！	{1} {0}
Player: Ultimate button	3	manual-context	재료 뭉개기	Smash Material	材料つぶし	
Player: Authorize Controller	0	manual-context	뭉개기 동작을 버튼으로 대체하려면 컨트롤러 스틱을 앞으로 천천히 움직여주세요! 	To substitute the smash action with a button, please slowly push the controller stick forward! 	材料を潰す動作をボタンに置き換えるには、コントローラーのスティックをゆっくり前に倒してください！	
Player: Authorize Controller	1	legacy-context	이제 [{0}] 키로 재료를 뭉갤 수 있습니다! 	Now you can smash the ingredients using the [{0}] key! 	これで[{0}]キーで材料を潰すことができます！ 	{0}
Player: Authorize Controller	2	legacy-context	재료 뭉개기	Smash Material	材料潰し	
Player: Left match	0	legacy-context	당신이 이제 헤드셰프 입니다!	You are Now Head Chef!	あなたが今、ヘッドシェフです！	
Dummy: Spawn	0	legacy-remap	부엌칼 상인/아이템 상인/업그레이드/업그레이드	Knife Merchant/Item Merchant/Upgrade/Upgrade	キッチンナイフトレーダー/アイテム商人/アップグレード/アップグレード	
Dummy: Spawn	2	legacy-remap	{0} : 주문한 칼 가지고 왔다네!	{0} : I've brought the ordered knife!	{0} : 注文したナイフを持ってきた！	{0}
Dummy: Spawn	3	legacy-remap	{0} : 무료 아이템을 나눠드릴게요!	{0} : Free items for you!	{0} : 無料アイテムをプレゼント！	{0}
Dummy: Spawn	5	legacy-remap	{0} 구매	Buy {0}	{0} 購入	{0}
Dummy: Spawn	6	legacy-remap	특수 칼 뽑기	Special Knife Random Box	特製包丁ガチャ	
Dummy: Spawn	7	legacy-remap	전설 칼 주문	Order Legendary Knife	ヘッドシェフの包丁注文	
Dummy: Spawn	8	legacy-remap	〔{0}〕:  {1} 구매 - ${2}	[{0}]:  Buy {1} - ${2}	〔{0}〕:  {1} 購入 - ${2}	{0} {1} {2}
Dummy: Spawn	9	manual-global	저장고	Storage	保存用バット	
Dummy: Spawn	10	manual-global	무작위 도구	Random Tool	ランダム道具	
Dummy: Spawn	11	legacy-remap	무작위 신발	Random Shoes	ランダム靴	
Dummy: Spawn	12	legacy-remap	〔{0}〕:  {1} 강화 - ${2}	[{0}]:  Upgrade {1} - ${2}	〔{0}〕:  {1} 強化 - ${2}	{0} {1} {2}
Dummy: Spawn	13	manual-global	튀김기&제빙기	Fryer&Ice Maker	フライヤー&製氷機	
Dummy: Spawn	14	legacy-phrase	튀김기	Fryer	フライヤー	
Dummy: Spawn	15	legacy-phrase	솥	Pot	鍋	
Dummy: Spawn	16	manual-global	오븐	Oven	オーブン	
Dummy: Spawn	17	legacy-phrase	그릴	Grill	グリル	
Dummy: Spawn	18	legacy-phrase	팬	Pan	フライパン	
Dummy: Spawn	20	manual-global	내 이동 속도 증가	Increase My Movement Speed	私のスピードアップ	
Dummy: Spawn	21	manual-global	팀 영업 시간 증가	Increase Team Time Limit	チームの営業タイムアップ	
Dummy: Spawn	22	legacy-remap	동전 교환	Exchange Coin	コイン交換	
Dummy: Spawn	23	legacy-remap	〔{0}〕 : 항목 변경	[{0}] : Change Select	〔{0}〕 : 項目変更	{0}
Dummy: Spawn	24	manual-context	평범한 손님/재앙은끝나지않았다/깐깐한 손님/성급한 손님/푸드파이터/예약 손님/음식 평론가/먹방 유튜버/괴식가/탱장연 대표/엘버피 VVIP/요리연구가/{0}	Regular Customer/ANTID wont stop us/Picky Customer/Impatient Customer/Competitive Eater/Reserved Customer/Food Critic/Mukbang YouTuber/Weirdo Customer/Mauga Main/elBuffi VVIP/Culinary Researcher/{0}	普通の客/ワンマン・アポカリプス/厳しい客/せっかちな客/フードファイター/予約客/フード評論家/モクバンユーチューバー/壊食家/マウガ専/エルバーピ VVIP/料理研究家/{0}	{0}
Dummy: Spawn	25	manual-context	혼밥 손님/수상한 손님/여우같은 손님/미식가/대혼돈의 손님/관심이가는손님/배달냥이/조용히힐이나하게나/시끄러운 손님	Solo Diner/Suspicious Customer/Foxy Customer/Gourmet/Chaotic Customer/Suffering Customer/Delivery Cat/For Honor and Beer/Karen	一人客/怪しい客/稲荷神/グルメ/混乱した客/苦しむ客/配達にゃんこ/名誉とビールのために/クレーマー客	
Dummy: Spawn	27	manual-context	평범한 손님/대식가/깐깐한 손님/성급한 손님/푸드파이터/예약 손님/음식 평론가/먹방 유튜버/괴식가/포악한 손님/엘버피 VVIP/요리연구가/{0}	Regular Customer/Big Fat Customer/Picky Customer/Impatient Customer/Competitive Eater/Reserved Customer/Food Critic/Mukbang YouTuber/Weirdo Customer/Savage Customer/elBuffi VVIP/Culinary Researcher/{0}	普通の客/大食い/厳しい客/せっかちな客/フードファイター/予約客/フード評論家/モクバンユーチューバー/壊食家/暴悪な客/エルバーピ VVIP/料理研究家/{0}	{0}
Dummy: Spawn	28	manual-context	혼밥 손님/수상한 손님/여우같은 손님/미식가/대혼돈의 손님/관심이가는손님/배달냥이/거대식가/시끄러운 손님	Solo Diner/Suspicious Customer/Foxy Customer/Gourmet/Chaotic Customer/Suffering Customer/Delivery Cat/Justice Giant/Karen	一人客/怪しい客/稲荷神/グルメ/混乱した客/苦しむ客/配達にゃんこ/大食い巨人/クレーマー客	
Dummy: Spawn	30	legacy-remap	#{1} - {0}초	#{1} - {0}s	#{1} - {0}秒	{1} {0}
Dummy: Spawn	34	duration-token	{0}초\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	{0}s\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	{0}秒\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	{0}
Dummy: Spawn	35	legacy-remap	완성도 있는 요리! +5%	A well-prepared dish! +5%	完成度の高い料理! +5%	
Dummy: Spawn	36	legacy-remap	 #{0} : 서빙 성공! {1}/{2} 	 #{0} : Served! {1}/{2} 	 #{0} : サービング成功! {1}/{2} 	{0} {1} {2}
Dummy: Spawn	37	duration-token	{0}초\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	{0}s\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	{0}秒\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	{0}
Dummy: Spawn	38	legacy-remap	서빙 성공! +{0}%	Serving Success! +{0}%	サービング成功! +{0}%	{0}
Dummy: Spawn	41	duration-token	{0}초\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	{0}s\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	{0}秒\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	{0}
Dummy: Spawn	44	legacy-remap	날 풀어줘!	Let me go!	放してくれ!	
Dummy: Spawn	45	manual-global	왜!? 이게 아냐!! 메뉴판이..!	Why!? This is wrong!! The menu..!	なぜだ!? こんなはずでは…!! メニューが…!	
Dummy: Spawn	46	legacy-remap	이 메뉴는 대체 뭐야!?	What even is this menu!?	このメニューは一体何なんだ!?	
Dummy: Spawn	47	legacy-remap	환상적인 서빙! +20% 	A-mei-zing Served! +20%	ファンタスティックなサービング! +20% 	
Dummy: Spawn	48	manual-global	 #{0} : 환상적인 서빙! 	 #{0} : A-mei-zing Service! 	 #{0} : ファンタスティックなサービング! 	{0}
Dummy: Spawn	50	legacy-remap	신속한 서빙! +10% 	Swift Served! +10%	迅速なサービング! +10% 	
Dummy: Spawn	51	manual-global	 #{0} : 신속한 서빙! 	 #{0} : Swift Service! 	 #{0} : 迅速なサービング! 	{0}
Dummy: Spawn	53	legacy-remap	완성도 있는 요리! +5% 	A well-prepared dish! +5%	完成度の高い料理! +5% 	
Dummy: Spawn	54	legacy-remap	 #{0} : 서빙 성공! 	 #{0} : Served! 	 #{0} : サービング成功! 	{0}
Dummy: Spawn	56	legacy-remap	 #{0} : 서빙 성공! 	 #{0} : Served! 	 #{0} : サービング成功! 	{0}
Dummy: Spawn	58	legacy-remap	VVIP 서빙 성공!	VVIP Serving Success!	VVIP サービング成功!	
Dummy: Spawn	59	legacy-remap	VVIP 서빙 성공! +{0}%	VVIP Serving Success! +{0}%	VVIP サービング成功! +{0}%	{0}
Dummy: Spawn	60	legacy-remap	VIP 서빙 성공! +{0}%	VIP Serving Success! +{0}%	VIP サービング成功! +{0}%	{0}
Dummy: Spawn	61	legacy-remap	보너스 점수 +50 	Bonus Score +50 	稲荷神のボーナス +50 	
Dummy: Spawn	62	legacy-remap	서빙 성공! +{0}%	Serving Success! +{0}%	サービング成功! +{0}%	{0}
Dummy: Spawn	64	duration-token	??초\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	??s\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	??秒\r\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	
Dummy: Spawn	65	legacy-remap	{0}{1}의 입소문! 	{0}{1}'s Promotional effect! 	{0}{1}の口コミ! 	{0} {1}
serveFail	0	manual-global	설득 시간 초과!		説得タイムオーバー!	
serveFail	1	manual-global	{0}의 잘못된 정치질!		{0}の間違った政治活動!	{0}
serveFail	2	manual-global	흑화 조심!		闇落ち注意!	
serveFail	3	manual-global	완성도 낮은 요리!		完成度の低い料理!	
serveFail	4	manual-global	맥주를 찾으러 돌진함!		ビールを探しに突進した!	
serveFail	5	manual-global	시간 초과!		タイムオーバー!	
serveFail	6	manual-global	{0}의 잘못된 서빙!		{0}の間違ったサービング!	{0}
serveFail	7	manual-global	순서 조심!		順番注意!	
serveFail	8	manual-global	완성도 낮은 요리!		完成度の低い料理!	
serveFail	9	manual-global	혼란에 빠져 도망침!		混乱して逃げ出した!	
Global subroutine: Start stage	1	legacy-phrase	설정	Settings	設定	
Global subroutine: Start stage	2	legacy-phrase	캐주얼 다이닝 튜토리얼 표시	Show Casual Dining Tutorial	カジュアルダイニングチュートリアルを表示	
Global subroutine: Start stage	3	legacy-phrase	영업 준비	Prepare for Service	営業準備	
Global subroutine: Start stage	5	legacy-phrase	 {0} \r\n　　　　　　　　　　　　　\r\n 요리 : {1} \r\n 손님 : {2}	 {0} \r\n　　　　　　　　　　　　　\r\n Foods: {1} \r\n Customer: {2}	 {0} \r\n　　　　　　　　　　　　　\r\n 料理 : {1} \r\n 客 : {2}	{0} {1} {2}
Global subroutine: Start stage	12	legacy-phrase	퓨전	Fusion	フュージョン	
Global subroutine: Start stage	14	legacy-phrase	영업 시작!	Open for Service!	営業開始!	
Global subroutine: Start stage	15	legacy-phrase	서빙볼이 당신을 지원합니다! 	ServingBall is supporting you! 	サービングボールがあなたをサポートします! 	
Global subroutine: Start stage	17	legacy-phrase	　　　　　주문서　　　　　	　　　　　Order List　　　　　	　　　　　注文書　　　　　	
Global subroutine: Start stage	20	legacy-phrase	몰려오는 손님!	More Incoming Customers!	押し寄せる客!	
Global subroutine: Start stage	21	legacy-phrase	전직원 보너스!	Bonus For All Staff!	全従業員ボーナス!	
Global subroutine: Start stage	22	manual-context	영업 완료!	Good Service!	立派な営業!	
Global subroutine: Start stage	23	legacy-phrase	{0}fgFF3291FF>환상적인 영업!	{0}fgFF3291FF>A-mei-zing Service!	{0}fgFF3291FF>ファンタスティックな営業!	{0}
Global subroutine: Start stage	24	legacy-phrase	급여 +${0}	+${0}	給料 +${0}	{0}
Global subroutine: Start stage	25	legacy-phrase	전직원 보너스!	Bonus For All Staff!	全従業員ボーナス!	
Global subroutine: Start stage	26	manual-context	영업 완료!	Good Service!	営業完了!	
Global subroutine: Start stage	27	legacy-phrase	몰려오는 손님!	More Incoming Customers!	押し寄せる客!	
Global subroutine: Start stage	28	legacy-phrase	성공적인 영업!	Successful Service!	成功した営業!	
Global subroutine: Start stage	29	legacy-phrase	{0}fgFF3291FF>환상적인 영업!	{0}fgFF3291FF>A-mei-zing Service!	{0}fgFF3291FF>ファンタスティックな営業!	{0}
Global subroutine: Start stage	30	legacy-phrase	급여 +${0}	+${0}	給料 +${0}	{0}
Global subroutine: Start stage	32	legacy-phrase	중간 점수 : {0}	Current Score: {0}	中間スコア : {0}	{0}
Global subroutine: Start stage	33	legacy-phrase	난이도 상승! 행운을 빌어요!	Now getting harder! Good Luck!	レベル上昇！幸運を祈ります!	
Global subroutine: Stage Fail	0	legacy-context	{0}fgC80013FF>보너스 영업 실패!	{0}fgC80013FF>Bonus Service Failed!	{0}fgC80013FF>ボーナス営業失敗!	{0}
Global subroutine: Stage Fail	1	legacy-context	{0}fgC80013FF>영업 실패!{0}fgFFFFFFFF> ({1} / {2})	{0}fgC80013FF>Service Failed!{0}fgFFFFFFFF> ({1} / {2})	{0}fgC80013FF>営業失敗!{0}fgFFFFFFFF> ({1} / {2})	{0} {0} {1} {2}
Global subroutine: Call customer	0	legacy-phrase	{0}fg00E697FF>#{1}{0}FGffffffFF> 테이블에 {0}fgFFFF00FF>{2}{0}FGffffffFF> 예약!	Reserve [ {0}fgFFFF00FF>{2}{0}FGffffffFF> ] for Table {0}fg00E697FF>#{1}{0}FGffffffFF>!	{0}fg00E697FF>#{1}{0}FGffffffFF>テーブル[{0}fgFFFF00FF>{2}{0}FGffffffFF>]予約!	{0} {1} {0} {0} {2} {0}
Host Player: Set Permission	0	manual-global	{0}{1} - {2} 직책 변경!	{0}{1} - {2}	{0}{1} - {2} 役職変更!	{0} {1} {2}
Host Player: Set Permission	1	manual-global	 {0} 애옹 OwO 	 {0} Meow OwO 	 {0} にゃー (=^・ω・^=)  	{0}
Host Player: Set Permission	2	manual-global	 {0} 오빠 달린다~ 헤이! 	 {0} MAUGA MAINS, RISE UP! 	 {0} マウガの精神！ 	{0}
Global subroutine: Knife Hud	1	manual-context	다이소에서 파는\r\n평범한 칼입니다	A flimsy butter knife\r\nfrom a discount store	ダイソーで売ってそうな\r\nありふれたナイフです	
Global subroutine: Knife Hud	4	manual-context	내구도와 성능이 무난한\r\n주방용 칼입니다	Cuts ingredients faster\r\nand lasts longer	食材をより速く切れ、\r\n耐久性も高い	
Global subroutine: Knife Hud	7	manual-context	재료를 손에 들고 바로 썰 수 있는\r\n전설적인 칼입니다	A legendary knife that lets you\r\nchop ingredients while holding them	食材を手に持ったまま\r\n切れる伝説のナイフ	
Global subroutine: Knife Hud	10	manual-context	내구도와 성능이 뛰어난\r\n고급 칼입니다	Cuts quickly and\r\nloses very little durability	素早く切れ、\r\n耐久値がほとんど減らない	
Global subroutine: Knife Hud	11	manual-context	재료를 손에 들고 썰 수 있는\r\n희귀한 칼입니다	Lets you chop ingredients\r\nwhile holding them	食材を手に持ったまま\r\n切ることができる	
Global subroutine: Knife Hud	12	manual-context	내구도와 성능이 압도적인\r\n희귀한 칼입니다	Cuts ingredients\r\ntwice as fast	食材を\r\n2倍の速さで切れる	
Global subroutine: Knife Hud	13	manual-context	도마에서 아주 빠른 속도로\r\n연격할 수 있습니다	Lets you unleash rapid strikes\r\non a cutting board	まな板で\r\n高速連撃ができる	
Global subroutine: Perk Hud	4	manual-context	100초간 도마에서 써는 속도와\r\n이동속도가 증가합니다	Increases chopping and movement speed\r\nfor 100 seconds	100秒間、まな板で切る速度と\r\n移動速度が上昇する	
Global subroutine: Perk Hud	5	manual-context	잠시 모든 시간이 느려지며\r\n칼+이속+조리기구 속도가 폭주합니다	Briefly activates Bullet Time\r\nand overboosting all action speeds	短時間バレットタイムを発動し、\r\nすべての動作速度を超加速させる	
Global subroutine: Perk Hud	6	manual-context	손에 재료를 들고 사용하면\r\n재료의 신선도 회복합니다	Use while holding an ingredient\r\nto restore its freshness	食材を手に持って使うと\r\n鮮度を回復する	
Global subroutine: Perk Hud	7	manual-context	필요 없는 재료를 빨아들여\r\n설거지로 부터 해방되세요	Make unwanted ingredients disappear\r\nSay goodbye to cleanup!	不要な食材を吸い込み、\r\n片付けから解放されよう!	
Global subroutine: Perk Hud	8	manual-context	손에 재료를 들고 사용하면\r\n음식이 복사가 됩니다	Use while holding food\r\nto duplicate it	食材を手に持って使うと\r\n料理を複製できる	
Global subroutine: Perk Hud	9	manual-context	{0}까지 가지 않아도\r\n재료를 구울 수 있습니다	Shoots a jet of flame to\r\n{0} ingredients anywhere	{0}まで行かなくても\r\n食材を直火で焼ける	{0}
Global subroutine: Perk Hud	10	manual-global	오븐	bake	オーブン	
Global subroutine: Perk Hud	11	legacy-phrase	그릴	grill	グリル	
Global subroutine: Perk Hud	12	manual-context	햄스터가 아르바이트를 구한다\r\n라고 함	The hamster says\r\nhe is seeking part-time employment	ハムスター曰く\r\nアルバイト希望	
